33	46	35
64	77	66
95	108	97
125	138	127
156	169	158
187	200	189
218	231	220
250	263	252
282	295	285
315	329	318
349	363	352
384	397	387
420	433	422
456	470	459
494	507	497
533	546	535
573	586	575
614	627	616
656	669	657
699	712	702
744	757	746
790	803	792
837	850	840
886	899	889
937	950	939
989	1002	991
1042	1055	1045
1097	1111	1100
1154	1167	1157
1213	1226	1216
1274	1287	1276
1336	1349	1339
1401	1414	1404
1467	1480	1470
1536	1549	1539
1607	1620	1610
1681	1694	1684
1756	1770	1759
1835	1848	1838
1916	1929	1920
2000	2014	2004
